query,retrieval_mode,retrieval_label,precision_at_5,precision_at_10,highly_relevant_at_5,highly_relevant_at_10,ndcg_at_10,latency_ms,result_count,top_result_title,top_result_score,top_result_grade,grades,semantic_available
stage 2 breast cancer trials near los angeles,bm25,BM25 only,1.0,1.0,0.0,0.0,1.0,1713.07,10,Faith in Action! A Church-Based Navigation Model to Increase Breast Cancer Screening in Korean Women,1.0,1,1 1 1 1 1 1 1 1 1 1,True
diabetes trials using continuous glucose monitoring in california,bm25,BM25 only,1.0,1.0,0.4,0.2,0.949,1103.51,10,Continuous Glucose Monitoring (CGM) in Prediabetes With Community Based Recruitment,1.0,2,2 1 1 2 1 1 1 1 1 1,True
asthma trials for children in united states,bm25,BM25 only,1.0,1.0,0.4,0.4,0.941,258.74,10,Project ASTHMA - Aligning With Schools To Help Manage Asthma and Improve Outcomes,1.0,2,2 2 1 1 1 2 1 1 1 2,True
depression trials for adults not using medication,bm25,BM25 only,1.0,1.0,0.4,0.6,0.882,611.48,10,Digital Interventions for Adults with Treatment-Resistant Depression: a Pilot Study,1.0,2,2 1 1 1 2 2 1 2 2 2,True
alzheimer trials for older adults,bm25,BM25 only,1.0,1.0,0.8,0.9,0.891,393.04,10,Alzheimer Prevention Trials (APT) Webstudy,1.0,1,1 2 2 2 2 2 2 2 2 2,True
lung cancer immunotherapy trials in california,bm25,BM25 only,1.0,1.0,0.0,0.0,1.0,1684.29,10,CONNECTing to LungCare,1.0,1,1 1 1 1 1 1 1 1 1 1,True
parkinson trials for adults in united states,bm25,BM25 only,1.0,1.0,0.6,0.4,0.844,742.41,10,Real-World Patient Experiences Using Continuous Subcutaneous Apomorphine Infusion (ONAPGOTM) in the United States:,1.0,1,1 2 2 1 2 1 1 1 1 2,True
migraine prevention trials,bm25,BM25 only,1.0,1.0,1.0,0.8,0.993,283.83,10,A Comparison of Biodegradable and Metal Occluders in Patients With PFO and Migraine,1.0,2,2 2 2 2 2 2 1 2 1 2,True
glioblastoma trials,bm25,BM25 only,1.0,1.0,0.4,0.6,0.84,209.41,10,Deciphering Mechanisms Underlying Cancer Immunogenicity,1.0,1,1 2 2 1 1 2 2 1 2 2,True
hiv vaccine trials,bm25,BM25 only,1.0,1.0,0.8,0.8,0.975,764.65,10,Simplified Treatment of Anti-retrovirus in China (C-STAR),1.0,2,2 2 2 1 2 2 2 1 2 2,True
stage 2 breast cancer trials near los angeles,bm25_tfidf,BM25 + TF-IDF,1.0,1.0,0.0,0.0,1.0,1411.73,10,Faith in Action! A Church-Based Navigation Model to Increase Breast Cancer Screening in Korean Women,0.8684,1,1 1 1 1 1 1 1 1 1 1,True
