query,mode,precision_at_5,precision_at_10,highly_relevant_at_5,highly_relevant_at_10,ndcg_at_10,latency_ms,result_count,search_mode_returned,live_api_used,live_api_count,top_result_title,top_result_score,top_result_grade,grades
stage 2 breast cancer trials near los angeles,local_index,1.0,1.0,0.0,0.0,1.0,1356.61,10,local_index,False,0,Faith in Action! A Church-Based Navigation Model to Increase Breast Cancer Screening in Korean Women,0.8536,1,1 1 1 1 1 1 1 1 1 1
diabetes trials using continuous glucose monitoring in california,local_index,1.0,1.0,0.6,0.3,0.929,760.6,10,local_index,False,0,Continuous Glucose Monitoring (CGM) in Prediabetes With Community Based Recruitment,0.9226,2,2 1 1 2 2 1 1 1 1 1
asthma trials for children in united states,local_index,1.0,1.0,0.8,0.9,0.985,220.11,10,local_index,False,0,Project ASTHMA - Aligning With Schools To Help Manage Asthma and Improve Outcomes,0.8688,2,2 2 2 2 1 2 2 2 2 2
depression trials for adults not using medication,local_index,1.0,1.0,0.8,0.7,0.942,538.32,10,local_index,False,0,Digital Interventions for Adults with Treatment-Resistant Depression: a Pilot Study,0.8307,2,2 1 2 2 2 2 2 1 1 2
alzheimer trials for older adults,local_index,1.0,1.0,0.8,0.8,0.966,348.96,10,local_index,False,0,Improv Music Therapy for Older Adults,0.7768,2,2 2 1 2 2 2 2 2 1 2
lung cancer immunotherapy trials in california,local_index,1.0,1.0,0.0,0.1,0.783,1331.27,10,local_index,False,0,CONNECTing to LungCare,0.8361,1,1 1 1 1 1 1 1 1 1 2
parkinson trials for adults in united states,local_index,1.0,1.0,0.6,0.4,0.83,373.15,10,local_index,False,0,Real-World Patient Experiences Using Continuous Subcutaneous Apomorphine Infusion (ONAPGOTM) in the United States:,0.9062,1,1 2 1 2 2 1 1 1 1 2
migraine prevention trials,local_index,1.0,1.0,1.0,0.8,0.991,134.05,10,local_index,False,0,Closed-loop RTMS for Short-term Migraine Prevention,0.7637,2,2 2 2 2 2 1 2 2 2 1
glioblastoma trials,local_index,1.0,1.0,0.6,0.6,0.906,21829.89,10,local_index,False,0,Glutamate Inhibitors in Glioblastoma,0.712,2,2 1 1 2 2 2 1 2 1 2
hiv vaccine trials,local_index,1.0,1.0,0.6,0.7,0.817,333.02,10,local_index,False,0,Immunogenicity of Gardasil-9 HPV Vaccine in People Living With HIV,0.73,1,1 1 2 2 2 1 2 2 2 2
stage 2 breast cancer trials near los angeles,local_plus_live_api,1.0,1.0,0.0,0.0,1.0,1672.37,10,local_plus_live_api,True,1,Faith in Action! A Church-Based Navigation Model to Increase Breast Cancer Screening in Korean Women,0.8536,1,1 1 1 1 1 1 1 1 1 1
diabetes trials using continuous glucose monitoring in california,local_plus_live_api,1.0,1.0,0.4,0.3,0.912,932.52,10,local_plus_live_api,True,3,Continuous Glucose Monitoring (CGM) in Prediabetes With Community Based Recruitment,0.9226,2,2 1 1 1 2 2 1 1 1 1
asthma trials for children in united states,local_plus_live_api,1.0,1.0,0.8,0.9,0.985,383.37,10,local_plus_live_api,True,1,Project ASTHMA - Aligning With Schools To Help Manage Asthma and Improve Outcomes,0.8688,2,2 2 2 2 1 2 2 2 2 2
depression trials for adults not using medication,local_plus_live_api,1.0,1.0,0.8,0.7,0.942,898.94,10,local_plus_live_api,True,18,Digital Interventions for Adults with Treatment-Resistant Depression: a Pilot Study,0.8307,2,2 1 2 2 2 2 2 1 1 2
alzheimer trials for older adults,local_plus_live_api,1.0,1.0,0.8,0.9,0.985,611.74,10,local_plus_live_api,True,24,Improv Music Therapy for Older Adults,0.7768,2,2 2 2 2 1 2 2 2 2 2
lung cancer immunotherapy trials in california,local_plus_live_api,1.0,1.0,0.6,0.5,0.961,1648.2,10,local_plus_live_api,True,15,A Study of Alisertib in Patients With Extensive Stage Small Cell Lung Cancer,0.8936,2,2 2 2 1 1 1 1 2 2 1
parkinson trials for adults in united states,local_plus_live_api,1.0,1.0,0.4,0.3,0.828,505.6,10,local_plus_live_api,True,7,Real-World Patient Experiences Using Continuous Subcutaneous Apomorphine Infusion (ONAPGOTM) in the United States:,0.9062,1,1 2 1 1 2 2 1 1 1 1
migraine prevention trials,local_plus_live_api,1.0,1.0,0.8,0.8,0.94,300.22,10,local_plus_live_api,True,13,Closed-loop RTMS for Short-term Migraine Prevention,0.7637,2,2 1 2 2 2 2 1 2 2 2
glioblastoma trials,local_plus_live_api,1.0,1.0,0.8,0.9,0.978,17725.33,10,local_plus_live_api,True,49,Glutamate Inhibitors in Glioblastoma,0.712,2,2 2 2 1 2 2 2 2 2 2
hiv vaccine trials,local_plus_live_api,1.0,1.0,0.6,0.7,0.817,522.5,10,local_plus_live_api,True,8,Immunogenicity of Gardasil-9 HPV Vaccine in People Living With HIV,0.73,1,1 1 2 2 2 1 2 2 2 2
